89163,29,college/grad student,M
81280,34,homemaker,M
105683,33,college/grad student,M
89163,29,college/grad student,M
terror+is+a+man+1959,False,[{'id': 27, 'name': 'Horror'}],1959-11-01,en
81280,34,homemaker,M
105683,33,college/grad student,M
9472,36,executive/managerial,M
9472,36,executive/managerial,M
49081,26,clerical/admin,M
14885,33,college/grad student,M
6426,27,K-12 student,M
52287,32,sales/marketing,M
103093,27,college/grad student,M
47517,33,other or not specified,M
83089,29,scientist,M
51502,25,scientist,F
14822,33,college/grad student,M
3439,28,college/grad student,M
42085,26,self-employed,M
28932,32,scientist,M
77691,26,executive/managerial,M
18265,29,self-employed,M
174,26,executive/managerial,M
94044,30,college/grad student,F
47001,34,college/grad student,M
39157,25,college/grad student,M
13238,30,executive/managerial,M
6634,19,college/grad student,M
53867,31,college/grad student,M
79094,32,clerical/admin,F
28936,32,other or not specified,M
29946,25,self-employed,M
56580,30,sales/marketing,M
67446,31,college/grad student,M
8303,26,executive/managerial,M
59427,25,executive/managerial,M
19098,34,college/grad student,M
83010,25,college/grad student,M
7748,30,executive/managerial,M
90245,34,sales/marketing,M
102916,28,self-employed,M
10542,28,scientist,M
8335,26,executive/managerial,M
65710,24,other or not specified,M
57761,34,college/grad student,M
12847,34,college/grad student,M
65286,32,academic/educator,F
7422,27,other or not specified,M
96783,28,college/grad student,M
86704,89,retired,F
65837,78,college/grad student,F
28646,44,college/grad student,F
25228,34,college/grad student,M
103549,29,executive/managerial,M
26004,26,sales/marketing,M
42353,42,sales/marketing,M
40874,27,scientist,F
1850,26,executive/managerial,M
19951,32,self-employed,M
55105,25,college/grad student,M
6336,33,college/grad student,F
71496,31,tradesman/craftsman,M
91334,26,tradesman/craftsman,M
27187,32,scientist,M
25607,31,sales/marketing,M
91942,33,other or not specified,M
98671,31,academic/educator,F
68700,29,K-12 student,M
98544,70,retired,F
82825,32,sales/marketing,M
84068,17,sales/marketing,M
99090,26,self-employed,M
37975,34,executive/managerial,M
72880,30,sales/marketing,M
49664,34,executive/managerial,M
46388,27,executive/managerial,M
63064,30,scientist,M
101455,10,homemaker,M
65944,32,executive/managerial,M
34447,34,sales/marketing,M
82177,66,executive/managerial,M
71077,25,self-employed,M
81814,25,academic/educator,M
66379,31,college/grad student,M
20145,28,scientist,M
60526,32,scientist,M
97085,27,college/grad student,M
26498,33,college/grad student,M
34188,20,scientist,M
79152,34,self-employed,M
41894,36,other or not specified,M
58685,32,scientist,M
45137,25,sales/marketing,M
34114,27,executive/managerial,M
56388,34,college/grad student,M
10567,18,scientist,M
38658,43,executive/managerial,M
75525,31,scientist,M
40075,29,academic/educator,F
98295,34,sales/marketing,M
35806,29,executive/managerial,M
27327,31,college/grad student,M
58782,28,college/grad student,M
96116,27,sales/marketing,M
90811,56,retired,F
468,32,college/grad student,M
25953,34,college/grad student,M
70852,33,college/grad student,M
45822,34,college/grad student,M
10213,34,college/grad student,M
3863,31,scientist,M
2360,32,sales/marketing,M
35649,18,sales/marketing,M
55109,78,retired,M
96299,27,executive/managerial,M
24491,32,college/grad student,F
82626,18,scientist,M
13736,32,sales/marketing,M
35890,33,scientist,M
7798,33,self-employed,M
22547,27,scientist,M
47578,16,homemaker,M
94115,25,artist,M
50169,18,K-12 student,M
98894,22,K-12 student,F
1640,34,scientist,M
67129,33,executive/managerial,M
379,27,technician/engineer,M
28008,28,other or not specified,M
16836,29,executive/managerial,F
37444,26,executive/managerial,M
33505,26,other or not specified,F
30959,33,executive/managerial,M
57257,30,executive/managerial,M
77114,26,executive/managerial,M
98327,27,executive/managerial,M
6759,34,executive/managerial,M
45754,34,college/grad student,F
45911,26,college/grad student,M
20300,27,college/grad student,M
19964,13,K-12 student,F
95648,34,unemployed,M
52079,27,technician/engineer,M
71019,30,tradesman/craftsman,M
103244,26,sales/marketing,M
14025,33,sales/marketing,M
92490,29,college/grad student,M
7018,29,scientist,M
85154,25,college/grad student,M
65405,32,sales/marketing,M
95026,26,executive/managerial,M
27931,27,academic/educator,M
29371,34,college/grad student,M
24134,27,college/grad student,F
59128,30,executive/managerial,M
97961,33,executive/managerial,M
67570,25,self-employed,M
57848,34,other or not specified,F
43320,27,college/grad student,M
57225,25,college/grad student,M
86035,32,artist,M
90927,25,college/grad student,F
10827,31,sales/marketing,M
103057,25,college/grad student,M
17815,26,college/grad student,M
42245,29,sales/marketing,M
92185,32,self-employed,F
102000,33,sales/marketing,F
12511,27,other or not specified,M
22925,32,academic/educator,F
56357,25,self-employed,M
22417,33,college/grad student,F
53239,30,academic/educator,F
32738,32,scientist,M
33309,27,homemaker,F
22893,27,sales/marketing,M
83851,34,college/grad student,M
7858,29,sales/marketing,M
75662,31,college/grad student,M
19230,30,sales/marketing,F
61022,32,homemaker,M
100008,25,sales/marketing,F
25695,23,scientist,M
36725,21,artist,F
16248,26,scientist,M
40050,32,executive/managerial,M
42694,32,college/grad student,M
93633,38,scientist,M
40751,33,technician/engineer,M
88610,29,homemaker,F
94200,27,executive/managerial,M
1686,18,K-12 student,M
71933,26,college/grad student,M
59841,34,executive/managerial,M
101814,29,college/grad student,M
76776,34,K-12 student,M
6665,28,executive/managerial,M
73257,34,clerical/admin,F
73257,34,clerical/admin,F
84010,31,sales/marketing,M
85258,34,executive/managerial,M
86001,34,other or not specified,M
3498,26,college/grad student,M
67082,29,other or not specified,M
5820,27,sales/marketing,M
40615,30,academic/educator,M
68219,33,executive/managerial,M
87162,25,college/grad student,M
63808,24,sales/marketing,M
69826,43,executive/managerial,M
15051,28,sales/marketing,M
1872,27,college/grad student,M
11513,26,artist,F
36633,33,sales/marketing,M
9184,28,scientist,M
63926,33,scientist,M
62097,29,scientist,M
6194,18,self-employed,F
85558,42,sales/marketing,M
12949,28,other or not specified,M
71360,26,scientist,M
32582,27,scientist,M
47325,26,college/grad student,M
12526,57,retired,F
6515,26,college/grad student,M
60522,28,sales/marketing,M
9590,30,executive/managerial,M
71801,20,sales/marketing,F
84615,18,K-12 student,M
93292,28,college/grad student,M
99495,34,college/grad student,M
15380,29,college/grad student,M
22214,28,college/grad student,M
385,26,executive/managerial,M
98001,31,sales/marketing,M
2712,18,sales/marketing,M
103662,32,executive/managerial,M
66680,31,executive/managerial,M
878,34,scientist,F
39417,27,self-employed,M
90195,28,K-12 student,M
64804,20,clerical/admin,M
1746,30,homemaker,M
94080,19,sales/marketing,M
50752,26,executive/managerial,M
75883,34,college/grad student,M
28514,26,homemaker,M
94023,27,academic/educator,M
81105,28,self-employed,M
70104,29,college/grad student,M
43420,30,clerical/admin,M
53934,31,executive/managerial,M
9424,18,college/grad student,M
33880,32,college/grad student,M
38145,30,executive/managerial,M
47715,30,college/grad student,M
74117,20,sales/marketing,M
34494,32,artist,M
26400,31,self-employed,M
98342,31,college/grad student,M
46091,22,homemaker,F
15055,28,sales/marketing,F
13712,25,self-employed,M
33707,25,self-employed,F
87726,30,scientist,M
34887,32,executive/managerial,M
7549,31,homemaker,M
46675,31,executive/managerial,M
85545,25,college/grad student,M
71200,32,sales/marketing,M
38239,31,college/grad student,M
35894,33,technician/engineer,M
24878,32,sales/marketing,M
25447,28,scientist,M
1608,25,sales/marketing,M
25452,29,college/grad student,M
90735,29,homemaker,F
14765,27,other or not specified,M
72120,33,executive/managerial,M
what+no+one+knows+2008,False,[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}],2008-02-11,da
85809,15,K-12 student,M
82443,29,college/grad student,M
35950,33,scientist,M
35442,32,college/grad student,M
86849,68,executive/managerial,M
43961,28,sales/marketing,M
60386,33,other or not specified,M
48319,41,other or not specified,F
57969,29,artist,M
19213,34,K-12 student,M
62814,70,retired,F
48024,33,college/grad student,M
65972,21,self-employed,F
97247,30,self-employed,M
102846,33,college/grad student,M
30758,27,college/grad student,M
